día,positivos,muertes,recuperados
marzo 6,1,0,0
marzo 7,5,0,0
marzo 8,2,0,0
marzo 9,3,0,0
marzo 10,1,0,0
marzo 11,8,0,0
marzo 12,8,0,0
marzo 13,11,0,0
marzo 14,19,0,0
marzo 15,28,0,1
marzo 16,20,0,1
marzo 17,29,0,1
marzo 18,58,0,1
marzo 19,63,3,1
marzo 20,57,1,1
marzo 21,31,1,1
marzo 22,39,0,1
marzo 23,33,1,1
marzo 24,64,3,4
marzo 25,100,0,4
marzo 26,54,5,14
marzo 27,35,4,16
marzo 28,138,2,16
marzo 29,143,9,16
marzo 30,115,11,269
marzo 31,254,15,394
abril 1,95,6,447
abril 2,180,7,537
abril 3,162,7,914
abril 4,525,8,989
abril 5,280,9,997
abril 6,,,
